,text,target,out_text,new_out
0,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0,[0.0035521  0.03811419 0.9583337 ],0
1,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,2,[0.02192319 0.12930092 0.84877586],0
2,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0,[0.0201873  0.13555965 0.84425306],0
3,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",2,[0.01310366 0.08426575 0.90263057],0
4,CRH's concrete bid for Holcim Lafarge assets,0,[0.01445063 0.10193659 0.8836128 ],0
5,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,2,[0.0152484  0.14240374 0.84234786],0
6,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",2,[0.01706414 0.14124186 0.84169394],0
7,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0,[0.01110863 0.08725892 0.9016324 ],0
8,France raises concerns over proposed LSE-Deutsche Boerse deal,2,[0.33141237 0.65141356 0.0171741 ],1
9,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",0,[0.26707518 0.61907625 0.11384854],1
10,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,1,[0.2748912  0.5884452  0.13666366],1
11,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,2,[0.28058612 0.6097224  0.10969149],1
12,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,1,[0.25505275 0.65937966 0.08556765],1
13,CompaniesActelion shares hit record on Shire takeover talk,0,[0.21209928 0.6896979  0.09820282],1
14,Valeant Names Interim Leader as CEO Remains Hospitalized,1,[0.21636294 0.6919785  0.09165858],1
15,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0,[0.25146726 0.6172425  0.13129024],1
16,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,1,[0.8175752  0.16547312 0.01695167],2
17,Companies Thetrainline.com announces arrival of London IPO,0,[0.5906931  0.30078408 0.10852284],2
18,AB InBev to Sell SABMiller Stake in China's Snow Beer,1,[0.57132494 0.3214834  0.10719164],2
19,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0,[0.552436   0.32971358 0.11785036],2
20,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0,[0.6335188  0.27521414 0.09126704],2
21,Whitbread boss Andy Harrison defends sales fall as 'just a blip',1,[0.61906195 0.26625523 0.11468282],2
22,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0,[0.60707486 0.2839231  0.10900208],2
23,MillerCoors Board Names Gavin Hattersley Interim CEO,1,[0.6040041  0.27924696 0.11674899],2
24,$FB Nice buyable intraday dip right here,0,[0.00409045 0.05012476 0.9457848 ],0
25,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0,[0.02218984 0.13779199 0.84001815],0
