,input,output,instruction,context,target,out_text,new_out
0,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: $HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$
Answer: ",0,<s> positive</s>,0
1,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,2,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: @gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?
Answer: ",2, negative</s><unk>,2
2,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri
Answer: ",0,<s> neutral</s>,1
3,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",2,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI
Answer: ",2, negative</s><unk>,2
4,CRH's concrete bid for Holcim Lafarge assets,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: CRH's concrete bid for Holcim Lafarge assets
Answer: ",0,<s> neutral</s>,1
5,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,2,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Doubts grow over GlaxoSmithKline's $6 bln capital return plan
Answer: ",2, negative</s><unk>,2
6,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",2,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: $XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope
Answer: ",2,<s> neutral</s>,1
7,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: $TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c
Answer: ",0,<s> positive</s>,0
8,France raises concerns over proposed LSE-Deutsche Boerse deal,2,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: France raises concerns over proposed LSE-Deutsche Boerse deal
Answer: ",2, negative</s><unk>,2
9,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM
Answer: ",0,<s> positive</s>,0
10,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses
Answer: ",1,<s> neutral</s>,1
11,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,2,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: @NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings
Answer: ",2, negative</s><unk>,2
12,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet
Answer: ",1,<s> neutral</s>,1
13,CompaniesActelion shares hit record on Shire takeover talk,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: CompaniesActelion shares hit record on Shire takeover talk
Answer: ",0,<s> positive</s>,0
14,Valeant Names Interim Leader as CEO Remains Hospitalized,1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Valeant Names Interim Leader as CEO Remains Hospitalized
Answer: ",1, negative</s><unk>,2
15,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: BRIEF-Legal & General's retirement business books 4 billion stg H1 sales
Answer: ",0,<s> positive</s>,0
16,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP
Answer: ",1, negative</s><unk>,2
17,Companies Thetrainline.com announces arrival of London IPO,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Companies Thetrainline.com announces arrival of London IPO
Answer: ",0,<s> positive</s>,0
18,AB InBev to Sell SABMiller Stake in China's Snow Beer,1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: AB InBev to Sell SABMiller Stake in China's Snow Beer
Answer: ",1,<s> neutral</s>,1
19,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers
Answer: ",0,<s> positive</s>,0
20,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US
Answer: ",0,<s> neutral</s>,1
21,Whitbread boss Andy Harrison defends sales fall as 'just a blip',1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Whitbread boss Andy Harrison defends sales fall as 'just a blip'
Answer: ",1, negative</s><unk>,2
22,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: @BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!
Answer: ",0,<s> positive</s>,0
23,MillerCoors Board Names Gavin Hattersley Interim CEO,1,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: MillerCoors Board Names Gavin Hattersley Interim CEO
Answer: ",1,<s> neutral</s>,1
