,text,target,out_text,new_out
6,Fuck this economy. I hate aig and their non loan given asses.,0,[0.94383484 0.04405761 0.00525166 0.00193198 0.00492386],0
11,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,[0.94535536 0.03781897 0.00537961 0.0027396  0.00870642],0
14,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,[0.9455346  0.03525784 0.00702452 0.00254411 0.00963896],0
16,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,[0.7907809  0.12542555 0.0343397  0.01630033 0.03315342],0
18,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,[0.949898   0.03399714 0.0047703  0.00249177 0.00884274],0
33,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,[0.9323653  0.05123165 0.00592471 0.00251358 0.00796478],0
34,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,[0.95265895 0.03536773 0.00428431 0.00195767 0.00573149],0
35,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,[0.6778855  0.20126508 0.06520575 0.02029124 0.03535236],0
36,I'm itchy and miserable!,0,[0.6234736  0.32790643 0.04390315 0.00288162 0.00183525],0
37,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,[0.63414735 0.29548246 0.04578073 0.00947048 0.01511901],0
42,cant sleep... my tooth is aching.,0,[0.7000317  0.24814576 0.04045556 0.00409001 0.00727701],0
43,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,[0.7529933  0.21531525 0.02408703 0.00275848 0.00484602],0
44,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,[0.6808584  0.26019734 0.05301739 0.00271806 0.00320891],0
48,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0,[0.6443505  0.31097957 0.03910941 0.00258238 0.00297811],0
49,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,[0.7941331  0.17461833 0.02266574 0.00312111 0.00546169],0
50,ShaunWoo hate'n on AiG,0,[0.7287182  0.24841861 0.01853944 0.00177137 0.00255229],0
54,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,[0.46419105 0.42596567 0.0950922  0.01094876 0.00380231],0
59,omg. The commercials alone on ESPN are going to drive me nuts.,0,[0.43880388 0.46984926 0.0771892  0.00945139 0.00470627],0
64,@morind45 Because the twitter api is slow and most client's aren't good.,0,[0.42597592 0.47428325 0.0850343  0.01073725 0.00396935],0
65,yahoo answers can be a butt sometimes,0,[0.4066262  0.42489398 0.11921941 0.02948468 0.01977576],0
72,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,0,[0.51167333 0.34118095 0.09701888 0.03087878 0.01924811],0
78,needs someone to explain lambda calculus to him! :(,0,[0.41685316 0.35934988 0.13592015 0.05669108 0.03118573],0
79,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,0,[0.3773874  0.33516398 0.18842351 0.0573398  0.04168525],0
81,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0,[0.5272039  0.30631644 0.1099227  0.03289016 0.02366677],0
86,Damn you North Korea. http://bit.ly/KtMeQ,0,[0.3234547  0.15160017 0.15357454 0.15421325 0.21715721],0
87,Can we just go ahead and blow North Korea off the map already?,0,[0.46554357 0.16496447 0.09950788 0.06749499 0.20248912],0
88,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0,[0.45049375 0.13958201 0.10826295 0.07580146 0.22585982],0
89,Why the hell is Pelosi in freakin China? and on whose dime?,0,[0.40085226 0.1505391  0.13802445 0.08996784 0.22061628],0
90,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0,[0.37676394 0.17228466 0.16224208 0.13796225 0.15074705],0
91,insects have infected my spinach plant :(,0,[0.3419712  0.15775526 0.15729377 0.152827   0.19015275],0
92,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0,[0.3163536  0.15523599 0.17369696 0.16372187 0.19099161],0
93,"just got back from church, and I totally hate insects.",0,[0.31316277 0.13221355 0.17918782 0.15527302 0.22016276],0
94,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,0,[0.8792044  0.09759002 0.01757613 0.00269111 0.00293834],0
96,History exam studying ugh,0,[0.84770155 0.11517294 0.02548612 0.00476305 0.00687626],0
97,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0,[0.82458514 0.12732163 0.03280685 0.00692132 0.00836503],0
98,"Higher physics exam tommorow, not lookin forward to it much :(",0,[0.6978837  0.17835835 0.07375421 0.02500188 0.02500188],0
99,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0,[0.79373205 0.12570934 0.04795915 0.01492613 0.01767336],0
100,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,[0.9222009  0.05719633 0.01321565 0.00244286 0.00494436],0
101,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,0,[0.8497396  0.11343818 0.02246857 0.00475589 0.00959778],0
102,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0,[0.8916868  0.07441939 0.02227395 0.00418617 0.00743357],0
103,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",0,[0.3332956  0.23720908 0.14122964 0.15448685 0.13377886],0
104,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,0,[0.29311472 0.25175703 0.11900873 0.15534934 0.1807702 ],0
105,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0,[0.28661034 0.23512694 0.2345536  0.14000706 0.10370206],0
123,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,0,[0.24227312 0.20324385 0.18837756 0.2063437  0.15976179],0
136,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0,[0.2829721  0.20974863 0.18571076 0.18622723 0.13534126],0
