,text,target,out_text,new_out
6,Fuck this economy. I hate aig and their non loan given asses.,0,[0.9568466  0.03531567 0.00783778],0
11,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,[0.79764926 0.10938268 0.09296796],0
14,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,[0.80429417 0.11192144 0.08378436],0
16,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,[0.82691664 0.10229493 0.07078847],0
18,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,[0.80426484 0.10715792 0.08857715],0
33,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,[0.83170474 0.08886775 0.0794275 ],0
34,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,[0.8184776  0.10605831 0.07546409],0
35,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,[0.8585107  0.08397273 0.05751663],0
36,I'm itchy and miserable!,0,[0.91483384 0.06708426 0.01808195],0
37,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,[0.6303685  0.19432786 0.17530361],0
42,cant sleep... my tooth is aching.,0,[0.6621585  0.18791382 0.14992774],0
43,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,[0.7230754  0.16834138 0.10858328],0
44,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,[0.6639757  0.18801595 0.1480084 ],0
48,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0,[0.6435834  0.1835364  0.17288013],0
49,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,[0.6692742  0.18676043 0.14396536],0
50,ShaunWoo hate'n on AiG,0,[0.62431633 0.20333014 0.17235354],0
54,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,[0.92931473 0.06573179 0.00495339],0
59,omg. The commercials alone on ESPN are going to drive me nuts.,0,[0.76050204 0.18321107 0.05628698],0
64,@morind45 Because the twitter api is slow and most client's aren't good.,0,[0.75643575 0.1905578  0.0530065 ],0
65,yahoo answers can be a butt sometimes,0,[0.75043947 0.18867837 0.06088216],0
72,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,0,[0.715201   0.22138321 0.06341574],0
78,needs someone to explain lambda calculus to him! :(,0,[0.7177963  0.22293709 0.05926656],0
79,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,0,[0.69898635 0.23567954 0.06533409],0
81,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0,[0.72009915 0.22355336 0.05634747],0
86,Damn you North Korea. http://bit.ly/KtMeQ,0,[0.9330139  0.05982058 0.00716551],0
87,Can we just go ahead and blow North Korea off the map already?,0,[0.7531714  0.16484502 0.08198361],0
88,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0,[0.77807134 0.15246505 0.06946359],0
89,Why the hell is Pelosi in freakin China? and on whose dime?,0,[0.75311106 0.17683871 0.07005025],0
90,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0,[0.7398478  0.1861062  0.07404601],0
91,insects have infected my spinach plant :(,0,[0.8046431  0.14401823 0.05133874],0
92,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0,[0.78451496 0.1706603  0.04482478],0
93,"just got back from church, and I totally hate insects.",0,[0.675518  0.2413637 0.0831183],0
94,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,0,[0.9437701  0.04840813 0.00782179],0
96,History exam studying ugh,0,[0.79871815 0.13121744 0.07006437],0
97,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0,[0.8064521  0.12735029 0.06619762],0
98,"Higher physics exam tommorow, not lookin forward to it much :(",0,[0.83207786 0.11686686 0.05105535],0
99,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0,[0.82107216 0.12715116 0.05177664],0
100,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,[0.7991806  0.13193607 0.06888339],0
101,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,0,[0.8331941  0.10261954 0.06418632],0
102,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0,[0.748136   0.15858889 0.09327513],0
103,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",0,[0.77422506 0.21311322 0.0126617 ],0
104,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,0,[0.4781343  0.41825974 0.10360596],0
105,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0,[0.52786493 0.37614447 0.09599063],0
123,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,0,[0.42887592 0.45653605 0.11458804],2
136,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0,[0.46581346 0.4210329  0.1131536 ],0
138,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,0,[0.57909524 0.32027313 0.10063166],0
139,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,0,[0.59143835 0.3173286  0.09123302],0
140,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,0,[0.49157387 0.4061385  0.10228755],0
141,Time Warner cable is down again 3rd time since Memorial Day bummer!,0,[0.929743   0.06296162 0.00729546],0
142,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",0,[0.72518826 0.19494365 0.0798681 ],0
143,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,0,[0.7306014  0.20090906 0.0684895 ],0
144,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,0,[0.72157246 0.19794235 0.0804852 ],0
145,time warner has the worse customer service ever. I will never use them again,0,[0.7528046  0.16785042 0.07934502],0
146,Time warner is the devil. Worst possible time for the Internet to go out.,0,[0.7500266  0.1751283  0.07484514],0
147,Fuck no internet damn time warner!,0,[0.7168307  0.19539732 0.08777195],0
148,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,0,[0.7289289  0.18255559 0.08851551],0
