,input,output,instruction,context,target,out_text,new_out
6,Fuck this economy. I hate aig and their non loan given asses.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Fuck this economy. I hate aig and their non loan given asses.
Answer: ",0,{negative}<|endoftext|>,0
11,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism
Answer: ",0,{negative}<|endoftext|>,0
14,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x
Answer: ",0,{negative}<|endoftext|>,0
16,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
Answer: ",0,{negative}<|endoftext|>,0
18,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.
Answer: ",0,{positive}<|endoftext|>,4
33,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
Answer: ",0,{negative}<|endoftext|>,0
34,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
Answer: ",0,{negative}<|endoftext|>,0
35,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
Answer: ",0,{negative}<|endoftext|>,0
36,I'm itchy and miserable!,0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: I'm itchy and miserable!
Answer: ",0,{negative}<|endoftext|>,0
37,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this twitter? Please choose an answer from {negative/neutral/positive}.
Input: @sekseemess no. I'm not itchy for now. Maybe later, lol.
Answer: ",0,{positive}<|endoftext|>,4
