,text,target,out_text,new_out
6,Fuck this economy. I hate aig and their non loan given asses.,0,[0.01448599 0.8686428  0.11687122],0
11,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,[0.06383914 0.5745758  0.36158502],0
14,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,[0.05536347 0.6379475  0.30668896],0
16,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,[0.11617255 0.73315835 0.15066914],0
18,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,[0.13449314 0.6116509  0.25385597],0
33,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,[0.04347136 0.64633703 0.3101916 ],0
34,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,[0.04870093 0.58524245 0.36605656],0
35,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,[0.05268819 0.56589854 0.3814133 ],0
36,I'm itchy and miserable!,0,[0.0128106  0.91401863 0.07317077],0
37,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,[0.03263931 0.7494252  0.21793547],0
42,cant sleep... my tooth is aching.,0,[0.03464484 0.5894165  0.37593868],0
43,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,[0.04581778 0.56641144 0.3877708 ],0
44,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,[0.0597248 0.4370212 0.503254 ],2
48,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0,[0.05566811 0.7051919  0.23913999],0
49,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,[0.04070741 0.5586654  0.40062717],0
50,ShaunWoo hate'n on AiG,0,[0.04661033 0.7566732  0.19671649],0
54,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,[0.0268239  0.32582608 0.6473501 ],2
59,omg. The commercials alone on ESPN are going to drive me nuts.,0,[0.11962689 0.38550094 0.49487218],2
64,@morind45 Because the twitter api is slow and most client's aren't good.,0,[0.09373675 0.40787032 0.49839288],2
65,yahoo answers can be a butt sometimes,0,[0.0939265  0.3583908  0.54768276],2
72,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,0,[0.07887467 0.18582284 0.7353025 ],2
78,needs someone to explain lambda calculus to him! :(,0,[0.04376701 0.20431273 0.75192034],2
79,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,0,[0.06880324 0.17395063 0.7572461 ],2
81,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0,[0.05456112 0.23857015 0.70686877],2
86,Damn you North Korea. http://bit.ly/KtMeQ,0,[0.03965579 0.40483487 0.5555094 ],2
87,Can we just go ahead and blow North Korea off the map already?,0,[0.09819344 0.40265185 0.4991547 ],2
88,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0,[0.08771002 0.4327791  0.47951084],2
89,Why the hell is Pelosi in freakin China? and on whose dime?,0,[0.12040887 0.35859793 0.5209932 ],2
90,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0,[0.180335   0.3995538  0.42011118],2
91,insects have infected my spinach plant :(,0,[0.08063494 0.18792866 0.7314364 ],2
92,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0,[0.06868763 0.14214733 0.789165  ],2
93,"just got back from church, and I totally hate insects.",0,[0.18098141 0.46367794 0.35534066],0
94,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,0,[0.04995663 0.10838519 0.84165823],2
96,History exam studying ugh,0,[0.12304191 0.18157798 0.6953801 ],2
97,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0,[0.12805972 0.1548849  0.7170553 ],2
98,"Higher physics exam tommorow, not lookin forward to it much :(",0,[0.21891297 0.26028314 0.52080387],2
99,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0,[0.17529733 0.20230858 0.6223941 ],2
100,Cheney and Bush are the real culprits - http://fwix.com/article/939496,0,[0.07702103 0.24150756 0.6814714 ],2
101,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,0,[0.17740647 0.22826762 0.59432596],2
102,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",0,[0.11413272 0.28960398 0.5962633 ],2
103,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",0,[0.02842624 0.0992673  0.8723064 ],2
104,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,0,[0.10627422 0.32117298 0.57255274],2
105,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",0,[0.07962407 0.32770422 0.59267175],2
123,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,0,[0.11480889 0.24044617 0.644745  ],2
136,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,0,[0.12718059 0.23071636 0.64210296],2
138,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,0,[0.08053415 0.36181125 0.5576546 ],2
139,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,0,[0.08380754 0.25247347 0.663719  ],2
140,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,0,[0.09932152 0.2337657  0.66691273],2
141,Time Warner cable is down again 3rd time since Memorial Day bummer!,0,[0.00809813 0.9647858  0.02711613],0
142,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",0,[0.09475777 0.45052156 0.45472065],2
10,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,2,[0.07576893 0.59917843 0.32505268],0
30,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,2,[0.03537146 0.76369673 0.20093182],0
31,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,2,[0.05468863 0.7338726  0.21143876],0
45,is in San Francisco at Bay to Breakers.,2,[0.03728696 0.87901324 0.08369987],0
46,just landed at San Francisco,2,[0.07139543 0.76794803 0.16065657],0
