,input,target,out_text,new_out
0,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0,[0.72789717 0.0098881  0.26221472],0
1,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,2,[0.41241357 0.09974262 0.48784387],1
2,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0,[0.26295966 0.14501196 0.5920284 ],1
3,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",2,[0.42264017 0.11970694 0.4576529 ],1
4,CRH's concrete bid for Holcim Lafarge assets,0,[0.24879104 0.0912156  0.65999335],1
5,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,2,[0.16835882 0.10734247 0.7242988 ],1
6,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",2,[0.2855232  0.07370535 0.6407715 ],1
7,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0,[0.44673017 0.11174423 0.4415256 ],0
8,France raises concerns over proposed LSE-Deutsche Boerse deal,2,[0.01999636 0.9229558  0.05704783],2
9,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",0,[0.08163012 0.78055936 0.13781054],2
10,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,1,[0.12546048 0.5135845  0.36095503],2
11,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,2,[0.1728553  0.4995632  0.32758155],2
12,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,1,[0.13710088 0.48499796 0.37790126],2
13,CompaniesActelion shares hit record on Shire takeover talk,0,[0.16831803 0.24275826 0.5889237 ],1
14,Valeant Names Interim Leader as CEO Remains Hospitalized,1,[0.21575798 0.14175686 0.6424852 ],1
15,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0,[0.19883783 0.23693421 0.56422794],1
16,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,1,[0.04589131 0.35019928 0.60390943],1
17,Companies Thetrainline.com announces arrival of London IPO,0,[0.09835043 0.41589442 0.48575523],1
18,AB InBev to Sell SABMiller Stake in China's Snow Beer,1,[0.17334871 0.24577741 0.5808739 ],1
19,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0,[0.19910899 0.20515375 0.5957372 ],1
20,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0,[0.19508502 0.27913103 0.525784  ],1
21,Whitbread boss Andy Harrison defends sales fall as 'just a blip',1,[0.2419366  0.41731516 0.34074825],2
22,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0,[0.12353452 0.45753202 0.41893348],2
23,MillerCoors Board Names Gavin Hattersley Interim CEO,1,[0.17752758 0.50597596 0.31649643],2
24,$FB Nice buyable intraday dip right here,0,[0.12796412 0.71094406 0.16109183],2
25,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0,[0.1944713  0.34803948 0.45748925],1
26,$DISH weakness continues again. 49.43 area resistance after last week,2,[0.17353095 0.41923687 0.4072321 ],2
27,GlaxoSmithKline starts hunt for successor to CEO Witty,1,[0.23246941 0.32815468 0.43937588],1
28,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",2,[0.21061227 0.4385252  0.35086265],2
29,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,2,[0.26120836 0.33323526 0.40555635],1
30,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,1,[0.25232172 0.4420823  0.30559596],2
31,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,2,[0.21031429 0.204292   0.5853937 ],1
32,$BBRY Ready for Take OFF!,0,[0.08714755 0.03290832 0.87994415],1
33,$ACAD under $2 today?,2,[0.10898035 0.13749526 0.75352436],1
34,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",0,[0.16909696 0.15282233 0.6780807 ],1
35,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0,[0.25428414 0.20166548 0.5440504 ],1
36,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,1,[0.12867233 0.15854037 0.71278733],1
37,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2,[0.07576261 0.1343872  0.7898502 ],1
38,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",0,[0.12800144 0.21396992 0.65802866],1
39,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,1,[0.12825295 0.18179533 0.6899518 ],1
40,$GEVO PLUNGING!  Back to $3.55.,2,[0.11644747 0.5479962  0.33555633],2
41,AB InBev to sell more SAB assets as seeks EU deal approval,1,[0.22600125 0.48704806 0.28695062],2
42,"HSBC shakes up board with two new business chiefs, three departures",1,[0.23638456 0.47949588 0.28411952],2
43,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",2,[0.22870582 0.47911397 0.29218015],2
44,$RAD All my charts are flashing oversold.,1,[0.26369825 0.47586656 0.26043525],2
45,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,2,[0.23988925 0.48970366 0.27040705],2
46,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,2,[0.18733211 0.40668118 0.40598676],2
47,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2,[0.15658672 0.23280855 0.6106047 ],1
48,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,2,[0.06860381 0.89577025 0.03562596],2
49,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,0,[0.16832705 0.21940589 0.6122671 ],1
50,@mugatushair Now it is time to short $TSLA,2,[0.12367087 0.17568594 0.7006432 ],1
51,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",2,[0.34250155 0.31568614 0.3418124 ],0
52,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",2,[0.09156062 0.12171341 0.78672606],1
53,Legal & General share price: Finance chief to step down,2,[0.30771467 0.43366924 0.25861615],2
54,Valeant Said to Name New CEO With Pearson Still Hospitalized,1,[0.10901926 0.15392958 0.7370512 ],1
55,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,2,[0.09705716 0.17803666 0.72490615],1
56,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,0,[0.38695455 0.12137482 0.4916707 ],1
57,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",2,[0.37382108 0.36756706 0.2586118 ],0
58,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,2,[0.35814694 0.3377029  0.3041502 ],0
59,"BHP Billiton posts big loss, slashes dividend",2,[0.3716628 0.3853376 0.2429997],2
60,Petrofac share price rises despite ÃÂ£30m costs on North Sea project,1,[0.3520391  0.24328545 0.40467548],1
61,U.S. Debt Lures Schroders as ECB Depresses Rates,1,[0.30498764 0.3332504  0.361762  ],1
62,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",1,[0.3193662  0.29000634 0.39062747],1
63,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,2,[0.2898907  0.25504813 0.45506114],1
64,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0,[0.11567556 0.6834521  0.20087229],2
65,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0,[0.18345015 0.38117793 0.435372  ],1
66,New Credit Suisse boss faces stiff challenge in Asia,2,[0.20344149 0.24865392 0.54790455],1
67,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,0,[0.09064193 0.44746423 0.46189377],1
68,Royal Mail turnaround proving expensive in tough UK market,1,[0.14263031 0.332071   0.52529866],1
69,"Royal Mail, Johnson Matthey lead FTSE lower",2,[0.22108869 0.31507543 0.46383587],1
70,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,1,[0.15226887 0.24623077 0.60150033],1
71,$DMND green and moving,0,[0.20253909 0.23713928 0.5603216 ],1
72,$REN bottoming out again.. Good time to buy,0,[0.580545   0.0454496  0.37400535],0
73,Breakingviews: IAG can pay more for Aer Lingus,0,[0.4027306  0.37364894 0.22362041],0
74,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",1,[0.3613414  0.30987445 0.32878426],0
75,$BBRY hearing rumours of a major joint venture announcement.,0,[0.27786976 0.45340082 0.26872948],2
76,$PCLN runs into the 50sma on the acquisition news,0,[0.33620226 0.27186635 0.39193135],1
77,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,1,[0.3623403  0.24834955 0.38931018],1
78,$CTRP breaking out https://t.co/Z2je3rTKch,0,[0.34591687 0.28014913 0.373934  ],1
79,Do it for me' trend underpins UK sales growth at Kingfisher,0,[0.36286837 0.23693502 0.40019655],1
80,CompaniesHoward Davies appointment as RBS director delayed,1,[0.05828486 0.04631018 0.8954049 ],1
81,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,2,[0.1578311  0.28370094 0.558468  ],1
