,input,target,out_text,new_out_np,new_out
0,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0,[0.4479206 0.5520794],1,0
1,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,2,[0.980034   0.01996604],0,2
2,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0,[0.9754836  0.02451633],0,2
3,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",2,[0.99649614 0.00350382],0,2
4,CRH's concrete bid for Holcim Lafarge assets,0,[0.98498523 0.01501475],0,2
5,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,2,[0.99852496 0.00147506],0,2
6,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",2,[0.9954261  0.00457386],0,2
7,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0,[0.00107961 0.99892044],1,0
8,France raises concerns over proposed LSE-Deutsche Boerse deal,2,[0.8931697  0.10683028],0,2
9,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",0,[0.7787335  0.22126654],0,2
10,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,1,[0.98799264 0.01200735],0,2
11,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,2,[0.99766773 0.00233223],0,2
12,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,1,[0.996108   0.00389204],0,2
13,CompaniesActelion shares hit record on Shire takeover talk,0,[0.27732617 0.72267383],1,0
14,Valeant Names Interim Leader as CEO Remains Hospitalized,1,[0.99765414 0.00234591],0,2
15,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0,[0.89634216 0.10365786],0,2
16,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,1,[9.9971312e-01 2.8685408e-04],0,2
17,Companies Thetrainline.com announces arrival of London IPO,0,[0.01903266 0.98096734],1,0
18,AB InBev to Sell SABMiller Stake in China's Snow Beer,1,[0.98147124 0.0185288 ],0,2
19,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0,[0.01252793 0.9874721 ],1,0
20,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0,[0.9792154  0.02078461],0,2
21,Whitbread boss Andy Harrison defends sales fall as 'just a blip',1,[0.99527246 0.00472755],0,2
22,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0,[0.937726   0.06227398],0,2
23,MillerCoors Board Names Gavin Hattersley Interim CEO,1,[0.9495292  0.05047085],0,2
24,$FB Nice buyable intraday dip right here,0,[0.94891727 0.05108274],0,2
25,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0,[0.02025469 0.9797453 ],1,0
26,$DISH weakness continues again. 49.43 area resistance after last week,2,[0.9944343  0.00556572],0,2
27,GlaxoSmithKline starts hunt for successor to CEO Witty,1,[0.9610981  0.03890198],0,2
28,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",2,[0.992961   0.00703905],0,2
29,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,2,[0.99718815 0.00281186],0,2
30,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,1,[0.00963365 0.99036634],1,0
31,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,2,[0.99772614 0.0022739 ],0,2
32,$BBRY Ready for Take OFF!,0,[0.90523857 0.09476144],0,2
33,$ACAD under $2 today?,2,[0.99389064 0.00610941],0,2
34,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",0,[0.9932156  0.00678436],0,2
35,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0,[0.01226491 0.9877351 ],1,0
36,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,1,[0.02578508 0.9742149 ],1,0
37,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2,[0.34449857 0.6555014 ],1,0
38,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",0,[0.9953904  0.00460957],0,2
39,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,1,[0.97644573 0.02355433],0,2
40,$GEVO PLUNGING!  Back to $3.55.,2,[0.99600047 0.0039995 ],0,2
41,AB InBev to sell more SAB assets as seeks EU deal approval,1,[0.9953544  0.00464556],0,2
42,"HSBC shakes up board with two new business chiefs, three departures",1,[0.13701202 0.86298794],1,0
43,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",2,[0.9657061  0.03429395],0,2
44,$RAD All my charts are flashing oversold.,1,[9.9971586e-01 2.8406718e-04],0,2
45,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,2,[9.9934238e-01 6.5765524e-04],0,2
46,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,2,[0.99615306 0.00384687],0,2
47,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2,[9.9974436e-01 2.5564007e-04],0,2
48,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,2,[0.9966756  0.00332444],0,2
49,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,0,[9.992679e-01 7.321813e-04],0,2
50,@mugatushair Now it is time to short $TSLA,2,[9.9942076e-01 5.7929172e-04],0,2
51,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",2,[0.98771137 0.0122886 ],0,2
52,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",2,[9.992749e-01 7.250710e-04],0,2
53,Legal & General share price: Finance chief to step down,2,[0.9979849  0.00201508],0,2
54,Valeant Said to Name New CEO With Pearson Still Hospitalized,1,[0.99592197 0.00407806],0,2
55,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,2,[0.01292047 0.98707944],1,0
56,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,0,[0.6091464 0.3908536],0,2
57,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",2,[0.9933589  0.00664111],0,2
58,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,2,[9.996730e-01 3.269453e-04],0,2
59,"BHP Billiton posts big loss, slashes dividend",2,[0.99764496 0.00235507],0,2
60,Petrofac share price rises despite ÃÂ£30m costs on North Sea project,1,[0.0072468 0.9927532],1,0
61,U.S. Debt Lures Schroders as ECB Depresses Rates,1,[0.98651993 0.0134801 ],0,2
62,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",1,[0.97917557 0.02082439],0,2
63,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,2,[0.9964412 0.0035588],0,2
64,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,0,[0.9905691  0.00943082],0,2
65,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0,[0.99796116 0.00203879],0,2
66,New Credit Suisse boss faces stiff challenge in Asia,2,[0.99373454 0.00626553],0,2
67,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,0,[0.99675864 0.00324136],0,2
68,Royal Mail turnaround proving expensive in tough UK market,1,[0.9859904  0.01400957],0,2
69,"Royal Mail, Johnson Matthey lead FTSE lower",2,[9.9966466e-01 3.3535014e-04],0,2
70,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,1,[0.997981   0.00201901],0,2
71,$DMND green and moving,0,[0.0193451  0.98065484],1,0
72,$REN bottoming out again.. Good time to buy,0,[6.011795e-04 9.993988e-01],1,0
73,Breakingviews: IAG can pay more for Aer Lingus,0,[0.99210805 0.00789198],0,2
74,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",1,[8.7789143e-04 9.9912208e-01],1,0
75,$BBRY hearing rumours of a major joint venture announcement.,0,[0.988062   0.01193804],0,2
76,$PCLN runs into the 50sma on the acquisition news,0,[0.99746394 0.00253605],0,2
77,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,1,[0.98873377 0.0112663 ],0,2
78,$CTRP breaking out https://t.co/Z2je3rTKch,0,[0.99677116 0.00322876],0,2
79,Do it for me' trend underpins UK sales growth at Kingfisher,0,[0.00324136 0.99675864],1,0
80,CompaniesHoward Davies appointment as RBS director delayed,1,[0.98439646 0.01560353],0,2
81,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,2,[0.9984176  0.00158234],0,2
82,volatility squeeze in $AAPL. I hope it gets resolved to the upside,1,[0.98535615 0.01464383],0,2
83,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0,[5.1426078e-04 9.9948573e-01],1,0
84,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",2,[9.9973780e-01 2.6221233e-04],0,2
85,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",1,[9.9938571e-01 6.1422714e-04],0,2
86,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",1,[0.9981828  0.00181728],0,2
87,Rio Tinto CEO says iron ore market at equilibrium,1,[0.9916033 0.0083967],0,2
88,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1,[0.12310184 0.87689817],1,0
89,Deutsche Bank cuts $SBUX,2,[0.99709344 0.00290651],0,2
90,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,1,[0.99693656 0.00306342],0,2
91,Johnson Matthey profit falls but dividend rises,1,[0.9191359 0.0808641],0,2
92,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,1,[0.0022127  0.99778724],1,0
93,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,1,[0.632446   0.36755398],0,2
94,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",2,[0.9987816  0.00121842],0,2
95,"$GILD Sandbagged the guidance so the can use that last 3 billion up.  CC was cautiously optimistic, wait til Next ER for confirmation",1,[0.9833589  0.01664105],0,2
96,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0,[0.5261602  0.47383982],0,2
97,Sanofi poaches AstraZeneca scientist as new research head,1,[0.970771   0.02922899],0,2
98,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,1,[0.3318772 0.6681228],1,0
99,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,2,[0.0992954 0.9007046],1,0
