,text,target,out_text,new_out
6,Fuck this economy. I hate aig and their non loan given asses.,0,[0.9989183  0.00108172],0
11,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,[0.94509614 0.05490385],0
14,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,[9.9973053e-01 2.6947915e-04],0
16,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,[0.2018919 0.7981081],4
18,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,[0.0021157  0.99788433],4
33,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,[0.87310666 0.12689333],0
34,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,[0.99738365 0.00261634],0
35,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,[0.9981104  0.00188954],0
36,I'm itchy and miserable!,0,[9.9975604e-01 2.4393632e-04],0
37,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,[0.992062   0.00793799],0
42,cant sleep... my tooth is aching.,0,[0.99403125 0.00596873],0
43,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,[9.9959952e-01 4.0055232e-04],0
44,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,[0.0122886  0.98771137],4
48,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0,[0.9964134  0.00358662],0
49,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,[0.99540824 0.00459168],0
50,ShaunWoo hate'n on AiG,0,[0.9986249  0.00137505],0
54,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,[9.9974281e-01 2.5714198e-04],0
59,omg. The commercials alone on ESPN are going to drive me nuts.,0,[0.96391606 0.03608394],0
64,@morind45 Because the twitter api is slow and most client's aren't good.,0,[9.997826e-01 2.173914e-04],0
65,yahoo answers can be a butt sometimes,0,[0.99871063 0.00128933],0
72,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,0,[0.99886864 0.00113136],0
78,needs someone to explain lambda calculus to him! :(,0,[9.990564e-01 9.436193e-04],0
79,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,0,[0.99583375 0.00416626],0
81,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",0,[0.9974191 0.0025809],0
86,Damn you North Korea. http://bit.ly/KtMeQ,0,[0.99338466 0.00661539],0
87,Can we just go ahead and blow North Korea off the map already?,0,[0.99894124 0.00105875],0
88,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",0,[9.994374e-01 5.625758e-04],0
89,Why the hell is Pelosi in freakin China? and on whose dime?,0,[9.9916387e-01 8.3609030e-04],0
90,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",0,[0.9962419  0.00375809],0
91,insects have infected my spinach plant :(,0,[0.9889492 0.0110508],0
92,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0,[0.99892044 0.00107961],0
93,"just got back from church, and I totally hate insects.",0,[0.99155444 0.00844563],0
94,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,0,[0.9953635  0.00463654],0
96,History exam studying ugh,0,[0.9878996  0.01210039],0
97,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0,[9.9976903e-01 2.3095726e-04],0
98,"Higher physics exam tommorow, not lookin forward to it much :(",0,[0.99190676 0.00809329],0
99,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0,[9.993905e-01 6.094501e-04],0
