,text,target,out_text,new_out
0,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0,[0.4479206 0.5520794],0
1,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,2,[0.980034   0.01996604],2
2,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0,[0.9754836  0.02451633],2
3,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",2,[0.99649614 0.00350382],2
4,CRH's concrete bid for Holcim Lafarge assets,0,[0.98498523 0.01501475],2
5,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,2,[0.99852496 0.00147506],2
6,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",2,[0.9954261  0.00457386],2
7,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0,[0.00107961 0.99892044],0
8,France raises concerns over proposed LSE-Deutsche Boerse deal,2,[0.8991657  0.10083435],2
9,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",0,[0.825097   0.17490299],2
11,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,2,[0.9977349  0.00226505],2
13,CompaniesActelion shares hit record on Shire takeover talk,0,[0.27207288 0.7279271 ],0
15,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0,[0.8943289 0.1056711],2
17,Companies Thetrainline.com announces arrival of London IPO,0,[0.01784874 0.98215127],0
19,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0,[0.0118006  0.98819935],0
20,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0,[0.97891515 0.02108484],2
22,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0,[0.93385434 0.06614568],2
24,$FB Nice buyable intraday dip right here,0,[0.9590777 0.0409223],2
25,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,0,[0.02062619 0.9793738 ],0
26,$DISH weakness continues again. 49.43 area resistance after last week,2,[0.9938788  0.00612128],2
28,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",2,[0.99313617 0.00686378],2
29,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,2,[0.99720997 0.00279004],2
31,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,2,[0.99770385 0.00229616],2
32,$BBRY Ready for Take OFF!,0,[0.891811   0.10818895],2
33,$ACAD under $2 today?,2,[0.99368566 0.00631437],2
34,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",0,[0.99344844 0.00655152],2
35,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0,[0.01279652 0.98720354],0
37,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2,[0.32852945 0.6714706 ],0
38,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa",0,[0.9957767  0.00422337],2
40,$GEVO PLUNGING!  Back to $3.55.,2,[0.99595356 0.00404646],2
43,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",2,[0.9678082  0.03219186],2
45,NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,2,[9.9934751e-01 6.5254065e-04],2
46,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,2,[0.9965233  0.00347665],2
47,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2,[9.9974233e-01 2.5764454e-04],2
48,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,2,[0.9969897 0.0030102],2
49,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,0,[9.9922669e-01 7.7330566e-04],2
50,@mugatushair Now it is time to short $TSLA,2,[9.9943966e-01 5.6038378e-04],2
51,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",2,[0.98761624 0.01238379],2
52,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",2,[9.9926347e-01 7.3648075e-04],2
53,Legal & General share price: Finance chief to step down,2,[0.99806195 0.00193804],2
55,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,2,[0.01590639 0.9840936 ],0
56,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,0,[0.65913093 0.34086904],2
