,input,target,out_text,new_out
0,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0,[4.2037964e-03 9.9552792e-01 2.6834634e-04],1
1,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,2,[2.3979440e-03 9.9713397e-01 4.6805132e-04],1
2,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0,[6.9461539e-03 9.9237615e-01 6.7776121e-04],1
3,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",2,[3.4855972e-03 9.9616492e-01 3.4953019e-04],1
4,CRH's concrete bid for Holcim Lafarge assets,0,[3.9557139e-03 9.9573529e-01 3.0892907e-04],1
5,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,2,[4.607267e-03 9.948927e-01 5.000395e-04],1
6,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",2,[4.4537871e-03 9.9519074e-01 3.5538073e-04],1
7,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0,[3.881326e-03 9.957937e-01 3.250411e-04],1
8,France raises concerns over proposed LSE-Deutsche Boerse deal,2,[0.00107922 0.03297234 0.9659484 ],2
9,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",0,[0.00142366 0.07718097 0.92139536],2
10,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,1,[0.00130273 0.03393574 0.9647615 ],2
11,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings,2,[0.00112326 0.03578981 0.96308696],2
12,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,1,[0.00148739 0.07094382 0.92756885],2
13,CompaniesActelion shares hit record on Shire takeover talk,0,[0.00384711 0.84218025 0.15397272],1
14,Valeant Names Interim Leader as CEO Remains Hospitalized,1,[0.00638137 0.98576933 0.00784922],1
15,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0,[0.00636491 0.9870746  0.00656055],1
16,Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,1,[0.00105599 0.05747223 0.9414718 ],2
17,Companies Thetrainline.com announces arrival of London IPO,0,[0.00172569 0.40568942 0.5925849 ],2
18,AB InBev to Sell SABMiller Stake in China's Snow Beer,1,[0.00215386 0.8259062  0.17193994],1
19,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,0,[0.0033468  0.97250813 0.02414501],1
