,text,target,out_text,new_out
6,Fuck this economy. I hate aig and their non loan given asses.,0,[0.9956375  0.00326311 0.00109943],0
11,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",0,[0.9826833  0.01378644 0.00353029],0
14,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",0,[0.98321956 0.01468359 0.00209686],0
16,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,0,[0.99553454 0.00346642 0.00099898],0
18,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0,[0.03516116 0.07469104 0.8901478 ],4
33,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,0,[0.08725619 0.84584224 0.06690164],2
34,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,0,[0.02739229 0.9623168  0.01029088],2
35,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,[0.9297132  0.06300573 0.00728099],0
36,I'm itchy and miserable!,0,[9.9552071e-01 3.5278471e-03 9.5136353e-04],0
37,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",0,[0.605776   0.37503454 0.01918947],0
42,cant sleep... my tooth is aching.,0,[0.9949787  0.0040228  0.00099843],0
43,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",0,[9.9588335e-01 3.1480845e-03 9.6858724e-04],0
44,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",0,[0.00306678 0.008601   0.9883322 ],4
48,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,0,[0.98402566 0.0143903  0.00158409],0
49,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,0,[0.05206252 0.94264096 0.00529649],2
50,ShaunWoo hate'n on AiG,0,[0.99556845 0.0034128  0.00101872],0
54,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,[0.98618627 0.01248721 0.00132646],0
59,omg. The commercials alone on ESPN are going to drive me nuts.,0,[0.01761254 0.95786315 0.02452433],2
64,@morind45 Because the twitter api is slow and most client's aren't good.,0,[0.49707347 0.46878493 0.03414155],0
